strain,accession,originating_lab,submitting_lab
A/Uruguay/163/2017,EPI1035641,departamento_de_laboratorio_de_salud_publica,centers_for_disease_control_and_prevention
A/Bolivia/795/2017,EPI1035183,cenetrop,centers_for_disease_control_and_prevention
A/MinasGerais/625/2017,EPI1045693,funed_mg,instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)
A/BuenosAires/R730/2017,EPI1059710,"malbran,_instituto_nacional_de_enfermedades_infecciosas_anlis_c.g.",instituto_nacional_enfermedades_infecciosas_c.g.malbran
A/Neuquen/26224/2017,EPI1059722,"malbran,_instituto_nacional_de_enfermedades_infecciosas_anlis_c.g.",instituto_nacional_enfermedades_infecciosas_c.g.malbran
A/SantaCatarina/453/2017,EPI1045709,lacen_sc,instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)
A/Guyane/529/2018,EPI1274172,national_influenza_center_french_guiana_and_french_indies,centers_for_disease_control_and_prevention
A/Brazil/6029/2018,EPI1262535,instituto_adolfo_lutz,centers_for_disease_control_and_prevention
A/Paraguay/9159/2018,EPI1277226,central_laboratory_of_public_health,centers_for_disease_control_and_prevention
A/Iquique/24507/2018,EPI1439933,instituto_de_salud_publica_de_chile,instituto_de_salud_publica_de_chile
A/Parana/158/2018,EPI1279491,laboratório_central_do_estado_do_paraná___lacen/pr,instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)
A/RiodeJaneiro/176/2018,EPI1279505,laboratório_central_de_saúde_pública_(lacen_rj),instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)
A/Antofagasta/27188/2018,EPI1255873,instituto_de_salud_publica_de_chile_,instituto_de_salud_publica_de_chile
A/Iquique/27192/2018,EPI1255875,instituto_de_salud_publica_de_chile_,instituto_de_salud_publica_de_chile
A/Concepcion/32374/2018,EPI1439957,instituto_de_salud_publica_de_chile,instituto_de_salud_publica_de_chile
A/Goias/898260/2018,EPI1267587,instituto_adolfo_lutz,instituto_adolfo_lutz
A/Brazil/8260/2018,EPI1266181,instituto_adolfo_lutz,centers_for_disease_control_and_prevention
A/Concepcion/22807/2018,EPI1255869,instituto_de_salud_publica_de_chile_,instituto_de_salud_publica_de_chile
A/PuntaArenas/23392/2018,EPI1255871,instituto_de_salud_publica_de_chile_,instituto_de_salud_publica_de_chile
A/Para/151723-IEC/2018,EPI1305030,evandro_chagas_institute,evandro_chagas_institute
A/AltoHospicio/32464/2018,EPI1281249,instituto_de_salud_publica_de_chile_,instituto_de_salud_publica_de_chile
A/Coyhaique/36501/2018,EPI1271563,instituto_de_salud_publica_de_chile_,centers_for_disease_control_and_prevention
A/SaoPaulo/736829/2018,EPI1267584,instituto_adolfo_lutz,instituto_adolfo_lutz
A/Para/151642-IEC/2018,EPI1305028,evandro_chagas_institute,evandro_chagas_institute
A/Parana/327/2018,EPI1279495,laboratório_central_do_estado_do_paraná___lacen/pr,instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)
A/Concepcion/32372/2018,EPI1439949,instituto_de_salud_publica_de_chile,instituto_de_salud_publica_de_chile
A/SaoPaulo/733190/2018,EPI1241333,instituto_adolfo_lutz,instituto_adolfo_lutz
A/SaoPaulo/734612/2018,EPI1241335,instituto_adolfo_lutz,instituto_adolfo_lutz
A/Iquique/24508/2018,EPI1439941,instituto_de_salud_publica_de_chile,instituto_de_salud_publica_de_chile
A/Iquique/24506/2018,EPI1439925,instituto_de_salud_publica_de_chile,instituto_de_salud_publica_de_chile
A/Amazonas/152018-IEC/2018,EPI1305014,evandro_chagas_institute,evandro_chagas_institute
A/SantaCatarina/162/2018,EPI1279523,lacen_sc,instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)
A/MinasGerais/135/2018,EPI1279461,funed_mg,instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)
A/Paraiba/151837-IEC/2018,EPI1305004,evandro_chagas_institute,evandro_chagas_institute
A/Boston/YGA_01159/2013,EPI522146,?,other_database_import
A/Chicago/YGA_04200/2013,EPI524248,?,other_database_import
A/Wyoming/1/2013,EPI418247,wyoming_public_health_laboratory,centers_for_disease_control_and_prevention
A/Quebec/19/2013,EPI487282,?,other_database_import
A/SantaClara/YGA_03023/2013,EPI523136,?,other_database_import
A/Boston/YGA_01132/2013,EPI521844,?,other_database_import
A/Boston/DOA2-239/2013,EPI475263,?,other_database_import
A/Boston/DOA2-159/2013,EPI474734,?,other_database_import
A/Ontario/9/2013,EPI493791,?,other_database_import
A/Nebraska/3198/2013,EPI451418,?,other_database_import
A/Boston/YGA_00035/2013,EPI520789,?,other_database_import
A/Louisiana/1/2013,EPI438378,louisiana_department_of_health_and_hospitals,centers_for_disease_control_and_prevention
A/Wisconsin/327/2017,EPI1085812,wisconsin_state_laboratory_of_hygiene,centers_for_disease_control_and_prevention
A/California/83/2017,EPI1093719,california_department_of_health_services,centers_for_disease_control_and_prevention
A/Saskatchewan/RV2340/2017,EPI1105075,"national_microbiology_laboratory,_health_canada",centers_for_disease_control_and_prevention
A/Washington/303/2017,EPI1094574,washington_state_public_health_laboratory,centers_for_disease_control_and_prevention
A/Alberta/RV2280/2017,EPI1104989,provincial_laboratory_of_public_health_for_southern_alberta,centers_for_disease_control_and_prevention
A/Ontario/RV2291/2017,EPI1104997,"national_microbiology_laboratory,_health_canada",centers_for_disease_control_and_prevention
A/Alberta/RV2370/2017,EPI1105091,provincial_laboratory_of_public_health_for_southern_alberta,centers_for_disease_control_and_prevention
A/Ontario/RV2301/2017,EPI1105013,"national_microbiology_laboratory,_health_canada",centers_for_disease_control_and_prevention
A/Arizona/52/2017,EPI1093639,arizona_department_of_health_services,centers_for_disease_control_and_prevention
A/California/84/2017,EPI1093727,california_department_of_health_services,centers_for_disease_control_and_prevention
A/Ontario/RV2374/2017,EPI1105114,"national_microbiology_laboratory,_health_canada",centers_for_disease_control_and_prevention
A/Missouri/29/2017,EPI1085884,missouri_department._of_health_&_senior_services,centers_for_disease_control_and_prevention
A/Guizhou-Xinyi/1799/2014,EPI551092,who_chinese_national_influenza_center,who_chinese_national_influenza_center
A/Liaoning-Heping/1430/2014,EPI554928,who_chinese_national_influenza_center,who_chinese_national_influenza_center
A/HuaianQingpu/11595/2014,EPI750243,?,other_database_import
A/Shaanxi-Hanbin/1472/2014,EPI554937,who_chinese_national_influenza_center,who_chinese_national_influenza_center
A/HuaianQingpu/11522/2014,EPI750235,?,other_database_import
A/Hangzhou/A826/2014,EPI622695,hangzhou_center_for_disease_control_and_prevention,hangzhou_center_for_disease_control_and_prevention
A/Hangzhou/A827/2014,EPI622696,hangzhou_center_for_disease_control_and_prevention,hangzhou_center_for_disease_control_and_prevention
A/Beijing/59100/2014,EPI598847,?,other_database_import
A/HuaianQingpu/160/2014,EPI750240,?,other_database_import
A/Beijing/59482/2014,EPI598851,?,other_database_import
A/Shandong-Zhifu/1499/2014,EPI1067817,?,other_database_import
A/HuaianQingpu/11441/2014,EPI750236,?,other_database_import
A/Shandong-Zhifu/1498/2014,EPI1067813,?,other_database_import
A/Alberta/60/2012,EPI417929,?,other_database_import
A/Boston/YGA_00006/2012,EPI520608,?,other_database_import
A/Connecticut/Flu075/2012,EPI674090,?,other_database_import
A/Maryland/3128/2012,EPI424291,?,other_database_import
A/NewYork/3089/2012,EPI424252,?,other_database_import
A/SouthCarolina/3099/2012,EPI424262,?,other_database_import
A/Houston/JMM_78/2012,EPI613658,?,other_database_import
A/Boston/YGA_02004/2012,EPI522640,?,other_database_import
A/California/NHRC382595/2012,EPI499815,?,other_database_import
A/SouthCarolina/3239/2012,EPI446590,?,other_database_import
A/Wisconsin/V130302/2012,EPI608888,?,other_database_import
A/Tennessee/18/2012,EPI412150,tennessee_department_of_health_laboratory_nashville,centers_for_disease_control_and_prevention
A/Uppsala/3/2011,EPI316888,?,swedish_institute_for_infectious_disease_control
A/Stockholm/15/2011,EPI318289,national_institute_for_medical_research,swedish_institute_for_infectious_disease_control
A/HauteNormandie/199/2011,EPI535583,?,institut_pasteur
A/Netherlands/691/2011,EPI1627275,erasmus_medical_center,erasmus_medical_center
A/Serbia/71/2011,EPI326115,institute_of_immunology_and_virology_torlak,national_institute_for_medical_research
A/Norway/209/2011,EPI302551,who_national_influenza_centre,norwegian_institute_of_public_health
A/Moldova/176/2011,EPI319288,national_centre_for_preventive_medicine,national_institute_for_medical_research
A/Norway/299/2011,EPI302552,who_national_influenza_centre,norwegian_institute_of_public_health
A/Slovenia/507/2011,EPI331081,"laboratory_for_virology,_national_institute_of_public_health",national_institute_for_medical_research
A/Athens/108/2011,EPI309691,hellenic_pasteur_institute,national_institute_for_medical_research
A/Hunan-beihu/1313/2009,EPI230149,?,national_institute_of_infectious_diseases_(niid)
A/HongKong/2210/2009,EPI214948,government_virus_unit,national_institute_for_medical_research
A/Taiwan/F1787/2009,EPI259469,?,other_database_import
A/Taiwan/F571/2009,EPI259500,?,other_database_import
A/Taiwan/F247/2009,EPI259486,?,other_database_import
A/Taiwan/F1215/2009,EPI259454,?,other_database_import
A/Guangdong/472/2009,EPI326355,?,other_database_import
A/Taiwan/F246/2009,EPI259485,?,other_database_import
A/Taiwan/F1711/2009,EPI259466,?,other_database_import
A/Taiwan/F555/2009,EPI259497,?,other_database_import
A/HongKong/H090-755-V3/2009,EPI326516,?,other_database_import
A/Taiwan/F741/2009,EPI259503,?,other_database_import
A/Taiwan/F1987/2009,EPI259480,?,other_database_import
A/Kansas/14/2017,EPI1504535,kansas_department_of_health_and_environment,who_chinese_national_influenza_center
A/DistrictOfColumbia/7/2017,EPI1277218,dc_public_health_lab,centers_for_disease_control_and_prevention
A/TurksAndCaicos/74/2017,EPI1240177,caribbean_epidemiology_center,centers_for_disease_control_and_prevention
A/Illinois/42/2017,EPI1131330,indiana_state_department_of_health_laboratories,centers_for_disease_control_and_prevention
A/WestVirginia/27/2017,EPI1131601,west_virginia_office_of_laboratory_services,centers_for_disease_control_and_prevention
A/Wisconsin/340/2017,EPI1131394,wisconsin_state_laboratory_of_hygiene,centers_for_disease_control_and_prevention
A/Florida/103/2017,EPI1174463,florida_department_of_health_tampa,centers_for_disease_control_and_prevention
A/California/158/2017,EPI1142092,california_department_of_health_services,centers_for_disease_control_and_prevention
A/Nebraska/20/2017,EPI1146465,nebraska_public_health_lab,centers_for_disease_control_and_prevention
A/Pennsylvania/269/2017,EPI1131250,pennsylvania_department_of_health,centers_for_disease_control_and_prevention
A/Minnesota/50/2017,EPI1146361,minnesota_department_of_health,centers_for_disease_control_and_prevention
A/Texas/325/2017,EPI1146680,dallas_county_health_and_human_services,centers_for_disease_control_and_prevention
A/Georgia/658/2019,EPI1506535,national_centre_for_disease_control_and_public_health,crick_worldwide_influenza_centre
A/California/121/2019,EPI1432845,california_department_of_health_services,centers_for_disease_control_and_prevention
A/Kansas/24/2019,EPI1438273,kansas_department_of_health_and_environment,centers_for_disease_control_and_prevention
A/Utah/25/2019,EPI1429607,utah_department_of_health,centers_for_disease_control_and_prevention
A/Arkansas/22/2019,EPI1421602,arkansas_department_of_health,centers_for_disease_control_and_prevention
A/California/103/2019,EPI1421313,california_department_of_health_services,centers_for_disease_control_and_prevention
A/NorthCarolina/22/2019,EPI1439686,north_carolina_state_laboratory_of_public_health,centers_for_disease_control_and_prevention
A/Minnesota/17/2019,EPI1422373,minnesota_department_of_health,centers_for_disease_control_and_prevention
A/California/104/2019,EPI1422162,california_department_of_health_services,centers_for_disease_control_and_prevention
A/Florida/36/2019,EPI1439390,florida_department_of_health_tampa,centers_for_disease_control_and_prevention
A/Delaware/18/2019,EPI1432701,delaware_public_health_lab,centers_for_disease_control_and_prevention
A/Washington/171/2019,EPI1432797,washington_state_public_health_laboratory,centers_for_disease_control_and_prevention
A/SriLanka/26/2019,EPI1670052,medical_research_institute,who_collaborating_centre_for_reference_and_research_on_influenza
A/SriLanka/34/2019,EPI1584554,medical_research_institute,who_collaborating_centre_for_reference_and_research_on_influenza
A/SriLanka/35/2019,EPI1584556,medical_research_institute,who_collaborating_centre_for_reference_and_research_on_influenza
A/SriLanka/37/2019,EPI1670046,medical_research_institute,who_collaborating_centre_for_reference_and_research_on_influenza
A/Bangladesh/36/2019,EPI1627898,"icddr,b_international_centre_for_diarrhoeal_disease_research,_bangladesh",centers_for_disease_control_and_prevention
A/Bangladesh/1190704015/2019,EPI1609143,"icddr,b_international_centre_for_diarrhoeal_disease_research,_bangladesh",centers_for_disease_control_and_prevention
A/Bangladesh/1190714021/2019,EPI1628097,"icddr,b_international_centre_for_diarrhoeal_disease_research,_bangladesh",centers_for_disease_control_and_prevention
A/Bangladesh/1190704021/2019,EPI1609455,"icddr,b_international_centre_for_diarrhoeal_disease_research,_bangladesh",centers_for_disease_control_and_prevention
A/Bangladesh/4001/2019,EPI1609286,"icddr,b_international_centre_for_diarrhoeal_disease_research,_bangladesh",centers_for_disease_control_and_prevention
A/Bangladesh/3190710003/2019,EPI1609661,"icddr,b_international_centre_for_diarrhoeal_disease_research,_bangladesh",centers_for_disease_control_and_prevention
A/Bangladesh/2024/2019,EPI1609630,"icddr,b_international_centre_for_diarrhoeal_disease_research,_bangladesh",centers_for_disease_control_and_prevention
A/Bangladesh/2036/2019,EPI1628025,"icddr,b_international_centre_for_diarrhoeal_disease_research,_bangladesh",centers_for_disease_control_and_prevention
A/Bangladesh/1018/2019,EPI1627993,"icddr,b_international_centre_for_diarrhoeal_disease_research,_bangladesh",centers_for_disease_control_and_prevention
A/India/Pun-NIV1921473/2019,EPI1881231,icmr_national_institute_of_virology,icmr_national_institute_of_virology
A/Bangladesh/1190714002/2019,EPI1609175,"icddr,b_international_centre_for_diarrhoeal_disease_research,_bangladesh",centers_for_disease_control_and_prevention
A/Pennsylvania/9/2015,EPI1506415,upmc_clb_dept_of_microbiology,centers_for_disease_control_and_prevention
A/Oregon/2/2015,EPI571915,oregon_public_health_laboratory,centers_for_disease_control_and_prevention
A/Bethesda/P0040/2015,EPI963088,?,other_database_import
A/NewYork/WC-LVD-15-048/2015,EPI845156,?,other_database_import
A/NewYork/4685/2015,EPI663209,?,other_database_import
A/NorthCarolina/10/2015,EPI579734,north_carolina_state_laboratory_of_public_health,centers_for_disease_control_and_prevention
A/NewYork/WC-LVD-15-005/2015,EPI844755,?,other_database_import
A/Florida/6/2015,EPI565528,florida_department_of_health_jacksonville,centers_for_disease_control_and_prevention
A/BritishColumbia/21/2015,EPI737139,?,other_database_import
A/Oklahoma/4465/2015,EPI662989,?,other_database_import
A/Washington/4726/2015,EPI663250,?,other_database_import
A/California/4613/2015,EPI663137,?,other_database_import
A/Wisconsin/20/2015,EPI579796,centers_for_disease_control_and_prevention,centers_for_disease_control_and_prevention
A/Alaska/3/2015,EPI629574,alaska_state_virology_lab,centers_for_disease_control_and_prevention
A/NewYork/WC-LVD-15-027/2015,EPI844972,?,other_database_import
A/NewYork/WC-LVD-15-032/2015,EPI845004,?,other_database_import
A/Montana/4770/2015,EPI671895,?,other_database_import
A/Texas/16/2015,EPI579492,baylor_college_of_medicine,centers_for_disease_control_and_prevention
A/Hawaii/22/2015,EPI629567,state_of_hawaii_department_of_health,centers_for_disease_control_and_prevention
A/Connecticut/4740/2015,EPI671865,?,other_database_import
A/Wisconsin/23/2015,EPI588636,marshfield_clinic_research_foundation,centers_for_disease_control_and_prevention
A/Texas/39/2015,EPI588628,baylor_college_of_medicine,centers_for_disease_control_and_prevention
A/Michigan/27/2015,EPI631842,michigan_department_of_community_health,centers_for_disease_control_and_prevention
A/Washington/4821/2015,EPI671946,?,other_database_import
A/Bremen/12/2019,EPI1436461,robert_koch_institute_nationales_referenzzentrum_für_influenza,crick_worldwide_influenza_centre
A/Latvia/2-033614/2019,EPI1436494,"state_agency,_infectology_center_of_latvia",crick_worldwide_influenza_centre
A/Slovenia/1213/2019,EPI1483906,"laboratory_for_virology,_national_institute_of_public_health",crick_worldwide_influenza_centre
A/Latvia/2-073821/2019,EPI1436496,"state_agency,_infectology_center_of_latvia",crick_worldwide_influenza_centre
A/Torino/544/2019,EPI1582693,istituto_superiore_di_sanità_,crick_worldwide_influenza_centre
A/Eskilstuna/6/2019,EPI1377556,"unilabs_mikrobiologi/laboratoriemedicin,_mälarsjukhuset_",public_health_agency_of_sweden
A/England/eWlsYW9mYWxlaQ/2019,EPI1583829,"microbiology_services_colindale,_public_health_england",crick_worldwide_influenza_centre
A/England/185/2019,EPI1491663,"microbiology_services_colindale,_public_health_england","microbiology_services_colindale,_public_health_england"
A/Parma/353/2019,EPI1582679,istituto_superiore_di_sanità_,crick_worldwide_influenza_centre
A/Hessen/34/2019,EPI1436485,robert_koch_institute_nationales_referenzzentrum_für_influenza,crick_worldwide_influenza_centre
A/Washington/106/2016,EPI1090847,washington_state_public_health_laboratory,other_database_import
A/California/213/2016,EPI895874,california_department_of_health_services,centers_for_disease_control_and_prevention
A/Washington/111/2016,EPI895666,washington_state_public_health_laboratory,centers_for_disease_control_and_prevention
A/Virginia/69/2016,EPI895945,virginia_division_of_consolidated_laboratories,centers_for_disease_control_and_prevention
A/CostaRica/1836/2016,EPI918207,laboratorio_nacional_de_influenza,centers_for_disease_control_and_prevention
A/Indiana/47/2016,EPI887123,indiana_state_department_of_health_laboratories,centers_for_disease_control_and_prevention
A/Hawaii/105/2016,EPI895993,state_of_hawaii_department_of_health,centers_for_disease_control_and_prevention
A/California/214/2016,EPI948136,california_department_of_health_services,other_database_import
A/Illinois/63/2016,EPI887192,illinois_department_of_public_health_chicago,centers_for_disease_control_and_prevention
A/California/195/2016,EPI887208,california_department_of_health_services,centers_for_disease_control_and_prevention
A/Texas/191/2016,EPI937915,texas_department_of_state_health_services_laboratory_services,other_database_import
A/WestVirginia/12/2016,EPI947800,west_virginia_office_of_laboratory_services,other_database_import
A/Nebraska/11/2019,EPI1548131,nebraska_public_health_lab,centers_for_disease_control_and_prevention
A/Ontario/RV2393/2019,EPI1583331,ontario_agency_for_health_protection_and_promotion_(oahpp),public_health_agency_of_canada_(phac)
A/Michigan/433/2019,EPI1586357,michigan_department_of_community_health,centers_for_disease_control_and_prevention
A/Mexico/2392/2019,EPI1606443,laboratorio_de_virus_respiratorio,centers_for_disease_control_and_prevention
A/Montana/39/2019,EPI1573710,montana_laboratory_services_bureau,centers_for_disease_control_and_prevention
A/Alberta/RV2430/2019,EPI1590355,provincial_laboratory_of_public_health_for_southern_alberta,public_health_agency_of_canada_(phac)
A/Alberta/RV2431/2019,EPI1590357,provincial_laboratory_of_public_health_for_southern_alberta,public_health_agency_of_canada_(phac)
A/California/162/2019,EPI1573727,california_department_of_health_services,centers_for_disease_control_and_prevention
A/Maine/25/2019,EPI1545326,maine_health_and_environmental_testing_laboratory,centers_for_disease_control_and_prevention
A/Maryland/30/2019,EPI1586412,maryland_department_of_health_and_mental_hygiene,centers_for_disease_control_and_prevention
A/Ohio/26/2019,EPI1586381,ohio_department_of_health_laboratories,centers_for_disease_control_and_prevention
A/Wisconsin/558/2019,EPI1548511,wisconsin_state_laboratory_of_hygiene,centers_for_disease_control_and_prevention
A/Victoria/2038/2018,EPI1315816,alfred_hospital,who_collaborating_centre_for_reference_and_research_on_influenza
A/Newcastle/21/2018,EPI1309989,john_hunter_hospital,who_collaborating_centre_for_reference_and_research_on_influenza
A/Newcastle/48/2018,EPI1283115,john_hunter_hospital,who_collaborating_centre_for_reference_and_research_on_influenza
A/Sydney/1020/2018,EPI1315807,institute_of_medical_and_veterinary_science_(imvs),who_collaborating_centre_for_reference_and_research_on_influenza
A/Townsville/1002/2018,EPI1315804,institute_of_medical_and_veterinary_science_(imvs),who_collaborating_centre_for_reference_and_research_on_influenza
A/Christchurch/504/2018,EPI1283283,canterbury_health_services,who_collaborating_centre_for_reference_and_research_on_influenza
A/Newcastle/44/2018,EPI1281541,john_hunter_hospital,who_collaborating_centre_for_reference_and_research_on_influenza
A/Victoria/2036/2018,EPI1283280,alfred_hospital,who_collaborating_centre_for_reference_and_research_on_influenza
A/Sydney/1017/2018,EPI1322570,institute_of_medical_and_veterinary_science_(imvs),who_collaborating_centre_for_reference_and_research_on_influenza
A/Victoria/2042/2018,EPI1322546,alfred_hospital,who_collaborating_centre_for_reference_and_research_on_influenza
A/Townsville/24/2018,EPI1358961,queensland_health_scientific_services,who_collaborating_centre_for_reference_and_research_on_influenza
A/SouthAustralia/26/2018,EPI1283307,institute_of_medical_and_veterinary_science_(imvs),who_collaborating_centre_for_reference_and_research_on_influenza
A/SouthAustralia/28/2018,EPI1315798,institute_of_medical_and_veterinary_science_(imvs),who_collaborating_centre_for_reference_and_research_on_influenza
A/Victoria/718/2018,EPI1322555,monash_medical_centre,who_collaborating_centre_for_reference_and_research_on_influenza
A/Christchurch/505/2018,EPI1315819,canterbury_health_services,who_collaborating_centre_for_reference_and_research_on_influenza
A/Sydney/121/2018,EPI1322543,"clinical_virology_unit,_cdim",who_collaborating_centre_for_reference_and_research_on_influenza
A/Victoria/901/2018,EPI1315810,royal_chidrens_hospital,who_collaborating_centre_for_reference_and_research_on_influenza
A/NorthCarolina/38/2018,EPI1245044,north_carolina_state_laboratory_of_public_health,centers_for_disease_control_and_prevention
A/Iowa/54/2018,EPI1245466,iowa_state_hygienic_laboratory,centers_for_disease_control_and_prevention
A/Alaska/37/2018,EPI1245308,alaska_state_virology_lab,centers_for_disease_control_and_prevention
A/Pennsylvania/79/2018,EPI1245474,pennsylvania_department_of_health,centers_for_disease_control_and_prevention
A/Idaho/17/2018,EPI1245604,state_of_idaho_bureau_of_laboratories,centers_for_disease_control_and_prevention
A/Idaho/13/2018,EPI1245228,state_of_idaho_bureau_of_laboratories,centers_for_disease_control_and_prevention
A/Pennsylvania/78/2018,EPI1245372,pennsylvania_department_of_health,centers_for_disease_control_and_prevention
A/Iowa/53/2018,EPI1245450,iowa_state_hygienic_laboratory,centers_for_disease_control_and_prevention
A/Virginia/50/2018,EPI1245108,virginia_division_of_consolidated_laboratories,centers_for_disease_control_and_prevention
A/NorthDakota/26/2018,EPI1245419,minnesota_department_of_health,centers_for_disease_control_and_prevention
A/Michigan/78/2018,EPI1249142,michigan_department_of_community_health,centers_for_disease_control_and_prevention
A/Michigan/77/2018,EPI1256367,michigan_department_of_community_health,centers_for_disease_control_and_prevention
A/Stockholm/6/2014,EPI515296,national_institute_for_medical_research,swedish_institute_for_infectious_disease_control
A/Norway/466/2014,EPI543540,"stavanger_universitetssykehus,_avd._for_medisinsk_mikrobiologi",centers_for_disease_control_and_prevention
A/Norway/850/2014,EPI532838,"oslo_university_hospital,_ulleval_hospital,_dept._of_microbiology",national_institute_for_medical_research
A/Belgium/14S0070/2014,EPI532808,scientific_institute_of_public_health,national_institute_for_medical_research
A/Finland/405/2014,EPI536320,national_institute_for_health_and_welfare,national_institute_for_medical_research
A/Stockholm/14/2014,EPI520348,swedish_institute_for_infectious_disease_control,swedish_institute_for_infectious_disease_control
A/England/256/2014,EPI536316,health_protection_agency,national_institute_for_medical_research
A/Nis/1059/2014,EPI539621,institute_of_immunology_and_virology_torlak,national_institute_for_medical_research
A/Sabac/1334/2014,EPI539631,institute_of_immunology_and_virology_torlak,national_institute_for_medical_research
A/Bratislava/111/2014,EPI536309,national_public_health_institute_of_slovakia,national_institute_for_medical_research
A/Colombia/3977/2019,EPI1486149,instituto_nacional_de_salud_de_columbia,centers_for_disease_control_and_prevention
A/Colombia/3962/2019,EPI1479020,instituto_nacional_de_salud_de_columbia,centers_for_disease_control_and_prevention
A/Suriname/607/2019,EPI1508119,"central_laboratory,_bureau_of_public_health",centers_for_disease_control_and_prevention
A/Colombia/3900/2019,EPI1480530,instituto_nacional_de_salud_de_columbia,centers_for_disease_control_and_prevention
A/Colombia/4015/2019,EPI1480506,instituto_nacional_de_salud_de_columbia,centers_for_disease_control_and_prevention
A/Colombia/4010/2019,EPI1479137,instituto_nacional_de_salud_de_columbia,centers_for_disease_control_and_prevention
A/Colombia/4016/2019,EPI1486157,instituto_nacional_de_salud_de_columbia,centers_for_disease_control_and_prevention
A/Suriname/601/2019,EPI1508071,"central_laboratory,_bureau_of_public_health",centers_for_disease_control_and_prevention
A/Colombia/2329/2019,EPI1486189,instituto_nacional_de_salud_de_columbia,centers_for_disease_control_and_prevention
A/Suriname/606/2019,EPI1508245,"central_laboratory,_bureau_of_public_health",centers_for_disease_control_and_prevention
A/Bolivia/865/2019,EPI1607607,instituto_nacional_de_laboratoriosde_salud_(inlasa),centers_for_disease_control_and_prevention
A/Palmas/19019981-IAL/2019,EPI1652005,instituto_adolfo_lutz,centers_for_disease_control_and_prevention
A/SantaCatarina/219/2019,EPI1584370,lacen/sc,instituto_oswaldo_cruz_fiocruz
A/Colombia/4167/2019,EPI1486133,instituto_nacional_de_salud_de_columbia,centers_for_disease_control_and_prevention
A/SaoPaulo/1138678-IAL/2019,EPI1602126,instituto_adolfo_lutz,centers_for_disease_control_and_prevention
